OID_,X,Y,smi21_Clip_Band_1
56,331410.000000000000000,4037640.000000000000000,0.1530236
57,331440.000000000000000,4037640.000000000000000,0.1626902
58,331470.000000000000000,4037640.000000000000000,0.1626578
59,331500.000000000000000,4037640.000000000000000,0.1628074
60,331530.000000000000000,4037640.000000000000000,0.1590246
61,331560.000000000000000,4037640.000000000000000,0.1719505
62,331590.000000000000000,4037640.000000000000000,0.1751624
63,331620.000000000000000,4037640.000000000000000,0.1619424
64,331650.000000000000000,4037640.000000000000000,0.1561436
65,331680.000000000000000,4037640.000000000000000,0.1518653
66,331710.000000000000000,4037640.000000000000000,0.1614183
67,331740.000000000000000,4037640.000000000000000,0.1591678
68,331770.000000000000000,4037640.000000000000000,0.1443957
69,331800.000000000000000,4037640.000000000000000,0.1338508
70,331830.000000000000000,4037640.000000000000000,0.1469306
71,331860.000000000000000,4037640.000000000000000,0.1480100
72,331890.000000000000000,4037640.000000000000000,0.1750215
73,331920.000000000000000,4037640.000000000000000,0.2007852
74,331950.000000000000000,4037640.000000000000000,0.1919307
75,331980.000000000000000,4037640.000000000000000,0.1516591
76,332010.000000000000000,4037640.000000000000000,0.1573729
77,332040.000000000000000,4037640.000000000000000,0.1985641
78,332070.000000000000000,4037640.000000000000000,0.1624694
79,332100.000000000000000,4037640.000000000000000,0.1480583
80,332130.000000000000000,4037640.000000000000000,0.1438583
81,332160.000000000000000,4037640.000000000000000,0.1514979
82,332190.000000000000000,4037640.000000000000000,0.1647744
83,332220.000000000000000,4037640.000000000000000,0.1767212
84,332250.000000000000000,4037640.000000000000000,0.1715840
85,332280.000000000000000,4037640.000000000000000,0.1784199
86,332310.000000000000000,4037640.000000000000000,0.1967141
87,332340.000000000000000,4037640.000000000000000,0.1756598
88,332370.000000000000000,4037640.000000000000000,0.1694783
89,332400.000000000000000,4037640.000000000000000,0.1638793
90,332430.000000000000000,4037640.000000000000000,0.1460923
91,332460.000000000000000,4037640.000000000000000,0.1406756
92,332490.000000000000000,4037640.000000000000000,0.1534592
93,332520.000000000000000,4037640.000000000000000,0.1647714
94,332550.000000000000000,4037640.000000000000000,0.1637101
95,332580.000000000000000,4037640.000000000000000,0.1719422
96,332610.000000000000000,4037640.000000000000000,0.1628064
97,332640.000000000000000,4037640.000000000000000,0.1936176
98,332670.000000000000000,4037640.000000000000000,0.2305228
99,332700.000000000000000,4037640.000000000000000,0.1981169
100,332730.000000000000000,4037640.000000000000000,0.1875554
101,332760.000000000000000,4037640.000000000000000,0.2063760
102,332790.000000000000000,4037640.000000000000000,0.1608413
103,332820.000000000000000,4037640.000000000000000,0.1466360
104,332850.000000000000000,4037640.000000000000000,0.1509819
105,332880.000000000000000,4037640.000000000000000,0.1411326
106,332910.000000000000000,4037640.000000000000000,0.1501189
107,332940.000000000000000,4037640.000000000000000,0.1348995
108,332970.000000000000000,4037640.000000000000000,0.1395876
109,333000.000000000000000,4037640.000000000000000,0.1587551
110,333030.000000000000000,4037640.000000000000000,0.1539801
111,333060.000000000000000,4037640.000000000000000,0.1553021
112,333090.000000000000000,4037640.000000000000000,0.1662619
113,333120.000000000000000,4037640.000000000000000,0.1880407
114,333150.000000000000000,4037640.000000000000000,0.2026689
115,333180.000000000000000,4037640.000000000000000,0.2247767
116,333210.000000000000000,4037640.000000000000000,0.2177214
117,333240.000000000000000,4037640.000000000000000,0.2224953
118,333270.000000000000000,4037640.000000000000000,0.2381360
