OID_,X,Y,smi_22_Band_1
103,765900.000000000000000,4157160.000000000000000,0.2075075
104,765930.000000000000000,4157160.000000000000000,0.2497049
105,765960.000000000000000,4157160.000000000000000,0.2345533
106,765990.000000000000000,4157160.000000000000000,0.2277143
107,766020.000000000000000,4157160.000000000000000,0.2451325
108,766050.000000000000000,4157160.000000000000000,0.2328650
109,766080.000000000000000,4157160.000000000000000,0.2335130
110,766110.000000000000000,4157160.000000000000000,0.2692892
111,766140.000000000000000,4157160.000000000000000,0.2840292
112,766170.000000000000000,4157160.000000000000000,0.3586967
113,766200.000000000000000,4157160.000000000000000,0.4286301
114,766230.000000000000000,4157160.000000000000000,0.3955804
115,766260.000000000000000,4157160.000000000000000,0.4040526
116,766290.000000000000000,4157160.000000000000000,0.3200609
117,766320.000000000000000,4157160.000000000000000,0.1857354
118,766350.000000000000000,4157160.000000000000000,0.1909672
119,766380.000000000000000,4157160.000000000000000,0.2174135
120,766410.000000000000000,4157160.000000000000000,0.2803258
121,766440.000000000000000,4157160.000000000000000,0.3383560
122,766470.000000000000000,4157160.000000000000000,0.3384490
123,766500.000000000000000,4157160.000000000000000,0.3153943
124,766530.000000000000000,4157160.000000000000000,0.2832822
125,766560.000000000000000,4157160.000000000000000,0.2940785
126,766590.000000000000000,4157160.000000000000000,0.2842427
127,766620.000000000000000,4157160.000000000000000,0.3910728
128,766650.000000000000000,4157160.000000000000000,0.4111762
129,766680.000000000000000,4157160.000000000000000,0.4147790
130,766710.000000000000000,4157160.000000000000000,0.3544259
131,766740.000000000000000,4157160.000000000000000,0.3702093
132,766770.000000000000000,4157160.000000000000000,0.4159424
133,766800.000000000000000,4157160.000000000000000,0.3358788
134,766830.000000000000000,4157160.000000000000000,0.3332602
135,766860.000000000000000,4157160.000000000000000,0.3269629
136,766890.000000000000000,4157160.000000000000000,0.2965784
137,766920.000000000000000,4157160.000000000000000,0.3172298
138,766950.000000000000000,4157160.000000000000000,0.2399660
139,766980.000000000000000,4157160.000000000000000,0.2387911
140,767010.000000000000000,4157160.000000000000000,0.2559501
141,767040.000000000000000,4157160.000000000000000,0.2087507
142,767070.000000000000000,4157160.000000000000000,0.1957695
143,762840.000000000000000,4157130.000000000000000,0.3213261
144,762870.000000000000000,4157130.000000000000000,0.3387291
145,762900.000000000000000,4157130.000000000000000,0.3028685
146,762930.000000000000000,4157130.000000000000000,0.2682938
147,762960.000000000000000,4157130.000000000000000,0.2606628
148,762990.000000000000000,4157130.000000000000000,0.3418368
149,763020.000000000000000,4157130.000000000000000,0.3134661
150,763050.000000000000000,4157130.000000000000000,0.2469571
151,763080.000000000000000,4157130.000000000000000,0.3139824
152,763110.000000000000000,4157130.000000000000000,0.2589167
153,763140.000000000000000,4157130.000000000000000,0.2187268
154,763170.000000000000000,4157130.000000000000000,0.1886652
155,763200.000000000000000,4157130.000000000000000,0.1706008
156,763230.000000000000000,4157130.000000000000000,0.1664853
157,763260.000000000000000,4157130.000000000000000,0.1574720
158,763290.000000000000000,4157130.000000000000000,0.1703264
159,763320.000000000000000,4157130.000000000000000,0.1739262
160,763350.000000000000000,4157130.000000000000000,0.2051974
161,763380.000000000000000,4157130.000000000000000,0.2208093
162,763410.000000000000000,4157130.000000000000000,0.2212597
163,763440.000000000000000,4157130.000000000000000,0.1952485
164,763470.000000000000000,4157130.000000000000000,0.1985669
165,763500.000000000000000,4157130.000000000000000,0.2172902
166,763530.000000000000000,4157130.000000000000000,0.2167584
167,763560.000000000000000,4157130.000000000000000,0.2270971
168,763590.000000000000000,4157130.000000000000000,0.2459251
169,763620.000000000000000,4157130.000000000000000,0.2453572
170,763650.000000000000000,4157130.000000000000000,0.2951317
171,763680.000000000000000,4157130.000000000000000,0.2594289
172,763710.000000000000000,4157130.000000000000000,0.2097034
173,763740.000000000000000,4157130.000000000000000,0.2748567
174,763770.000000000000000,4157130.000000000000000,0.3293409
175,763800.000000000000000,4157130.000000000000000,0.3571347
176,763830.000000000000000,4157130.000000000000000,0.3811578
177,763860.000000000000000,4157130.000000000000000,0.4233945
178,763890.000000000000000,4157130.000000000000000,0.4514358
179,763920.000000000000000,4157130.000000000000000,0.5194580
180,763950.000000000000000,4157130.000000000000000,0.5437632
181,763980.000000000000000,4157130.000000000000000,0.4985602
182,764010.000000000000000,4157130.000000000000000,0.4518197
183,764040.000000000000000,4157130.000000000000000,0.4225765
184,764070.000000000000000,4157130.000000000000000,0.4777128
185,764100.000000000000000,4157130.000000000000000,0.3216652
186,764130.000000000000000,4157130.000000000000000,0.2211187
187,764160.000000000000000,4157130.000000000000000,0.2178674
188,764190.000000000000000,4157130.000000000000000,0.2574538
189,764220.000000000000000,4157130.000000000000000,0.2973740
190,764250.000000000000000,4157130.000000000000000,0.3800305
191,764280.000000000000000,4157130.000000000000000,0.3726498
192,764310.000000000000000,4157130.000000000000000,0.3249373
193,764340.000000000000000,4157130.000000000000000,0.4082437
194,764370.000000000000000,4157130.000000000000000,0.4041424
195,764400.000000000000000,4157130.000000000000000,0.3889058
196,764430.000000000000000,4157130.000000000000000,0.5242952
